rowid	repo	accession	total citations	date made public	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	WoS Cited by how many?	COMMENTS	Dropbox filenames (for multiple files or multiple citations)	Google Scholar Search Term	Search results	Imported to Mendeley?														
1138	TreeBASE	S1363	3	Thorn, R.G., et al., A new poroid species of Resupinatus from Puerto Rico, with a reassessment of the cyphelloid genus Stigmatolemma. Mycologia, 2005.	10.3852/mycologia.97.5.1140	Thorn R., Moncalvo J., Redhead S., Lodge D., & Martin M. 2005. A new poroid species of Resupinatus from Puerto Rico, with a reassessment of the cyphelloid genus Stigmatolemma. Mycologia, 97: p.1140.	y	1	3			S1363 AND "TreeBASE"	1 (Data Collection ARticle)																
1139	TreeBASE	S1324	21	Agnarsson, I. and M. Kuntner, Madagascar: an unexpected hotspot of social Anelosimus spider diversity (Araneae: Theridiidae). Systematic Entomology, 2005.	10.1111/j.1365-3113.2005.00289.x	Agnarsson, I. and M. Kuntner, Madagascar: an unexpected hotspot of social Anelosimus spider diversity (Araneae: Theridiidae). Systematic Entomology, 2005. 30: p.575	y	2	21			S1324 AND "TreeBASE"	2	http://scholar.google.com/scholar?hl=en&q=S1324+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	y														
1140	TreeBASE	S1236	4	Schroers, H.J., et al., Classification of the guava wilt fungus Myxosporium psidii, the palm pathogen Gliocladium vermoesenii and the persimmon wilt fungus Acremonium diospyri in Nalanthamala. Mycologia, 2005.	10.3852/mycologia.97.2.375	Schroers H., Geldenhuis M., Wingfield M., Schoeman M., & Wingfield B. 2005. Classification of the guava wilt fungus Myxosporium psidii, the palm pathogen Gliocladium vermoesenii and the persimmon wilt fungus Acremonium diospyri in Nalanthamala. Mycologia, 97: p.375.	y	1	4			S1236 AND "TreeBASE"	0																
1141	TreeBASE	S1276	41	Wortley, A.H., et al., How Much Data is Needed to Resolve a Difficult Phylogeny? Case Study in Lamiales. Systematic Biology, 2005.	10.1080/10635150500221028	Wortley A., Rudall P., Harris D., & Scotland R. 2005. How Much Data is Needed to Resolve a Difficult Phylogeny? Case Study in Lamiales. Systematic Biology, 54: p.697.	y	3	41			S1276 AND "TreeBASE"	2	http://scholar.google.com/scholar?hl=en&q=S1276+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	y														
1142	TreeBASE	S1294	9	Hyakumachi, M., et al., New Anastomosis Groups, AG-T and AG-U, of Binucleate Rhizoctonia spp. Causing Root and Stem Rot of Cut-Flower and Miniature Roses. Phytopathology, 2005. 95.	10.1094/PHYTO-95-0784	Hyakumachi M., Priyatmojo A., Kubota M., & Fukui H. 2005. New Anastomosis Groups, AG-T and AG-U, of Binucleate Rhizoctonia spp. Causing Root and Stem Rot of Cut-Flower and Miniature Roses. Phytopathology, 95: p.784.	y	1	9			S1294 AND "TreeBASE"	1 (Data Collection ARticle)																
1143	TreeBASE	S1258	10	Moline, P.M. and H.P. Linder, Molecular phylogeny and generic delimitation in the Elegia group (Restionaceae, South Africa) based on a complete taxon sampling and four DNA chloroplast markers. Systematic Botany, 2005.	10.1600/036364405775097842	Moline P., & Linder H. 2005. Molecular phylogeny and generic delimitation in the Elegia group (Restionaceae, South Africa) based on a complete taxon sampling and four DNA chloroplast markers. Systematic Botany, 30: p.759.	y	2	10			S1258 AND "TreeBASE"	1 (Data Collection ARticle)																
1144	TreeBASE	S1252	9	Tronchet, F., et al., Monophyly and major clades of Meryta (Araliaceae). Systematic Botany, 2005.	10.1600/0363644054782279	Tronchet F., Plunkett G., Jeremie J., & Ii P. 2005. Monophyly and major clades of Meryta (Araliaceae). Systematic Botany, 30: p.657.	y	1	9			S1252 AND "TreeBASE"	1 (Data Collection ARticle)																
1145	TreeBASE	S1359		Zhang, L.B. and M.P. Simmons, Phylogeny and delimitation of the Celastrales inferred from nuclear and plastid genes. Systematic Botany, 2005.	10.1600/036364406775971778	Zhang L., & Simmons M. 2005. Phylogeny and delimitation of the Celastrales inferred from nuclear and plastid genes. Systematic Botany, null.	n					S1359 AND "TreeBASE"	1 (Data Collection ARticle)																
1146	TreeBASE	S1275	31	Phillips, A.J.L., et al., Morphology and phylogeny of Botryosphaeria dothidea causing fruit rot of olives. Mycopathologia, 2005.	10.1007/s11046-005-0256-2	Phillips A., Rumbos I., Alves A., & Correia A. 2005. Morphology and phylogeny of Botryosphaeria dothidea causing fruit rot of olives. Mycopathologia, 97: p.513.	y	1	31			S1275 AND "TreeBASE"	1	http://scholar.google.com/scholar?hl=en&q=S1275+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	y														
1147	TreeBASE	S1333	12	Hayashi, S., The Molecular Phylogeny of the Buccinidae (Caenogastropoda: Neogastropoda) as Inferred from the Complete Mitochondrial 16S rRNA Gene Sequences of Selected Representatives. Molluscan Research, 2005. 25.		Hayashi S. 2005. The Molecular Phylogeny of the Buccinidae (Caenogastropoda: Neogastropoda) as Inferred from the Complete Mitochondrial 16S rRNA Gene Sequences of Selected Representatives. Molluscan Research, 25: p.85	y	1	12			S1333 AND "TreeBASE"	0																
1148	TreeBASE	S1263	10	Werner, O., et al., Preliminary investigation of the systematics of Didymodon (Pottiaceae, Musci) based on nrITS sequence data. Systematic Botany, 2005. 30.	10.1600/0363644054782198	Werner O., Jimenez J., Ros R., Cano M., & Guerra J. 2005. Preliminary investigation of the systematics of Didymodon (Pottiaceae, Musci) based on nrITS sequence data. Systematic Botany, 30: p.461	y	1	10			S1263 AND "TreeBASE"	0																
1149	TreeBASE	S1231	5	Wilson, N.G. and M.S.Y. Lee, Molecular phylogeny of Chromodoris (Mollusca, Nudibranchia) and the identification of a planar spawning clade. Molecular Phylogenetics and Evolution, 2005.	10.1016/j.ympev.2005.04.003 	Wilson, N.G. and M.S.Y. Lee, Molecular phylogeny of Chromodoris (Mollusca, Nudibranchia) and the identification of a planar spawning clade. Molecular Phylogenetics and Evolution, 2005. 36: p.722	y	1	5			S1231 AND "TreeBASE"	1	http://scholar.google.com/scholar?hl=en&q=S1231+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	y														
1150	TreeBASE	S1228	1	Sakayaroj, J., et al., A phylogenetic study of the genus Haligena (Halosphaeriales, Ascomycota). Mycologia, 2005.	10.3852/mycologia.97.4.804	Sakayaroj J., Pang K., Phongpaichit S., & Jones E. 2005. A phylogenetic study of the genus Haligena (Halosphaeriales, Ascomycota). Mycologia, 97: p.804.	y	1	1			S1228 AND "TreeBASE"	2 (1 is Data Collection Article)	http://scholar.google.com/scholar?hl=en&q=S1228+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	y														
1151	TreeBASE	S1418		Spencer, H.G., F.J. Brook, and M. Kennedy, Phylogeography of Kauri Snails and their allies from Northland, New Zealand (Mollusca: Gastropoda: Rhytididae: Paryphantinae). Molecular Phylogenetics and Evolution, 2005.	10.1016/j.ympev.2005.10.015 	Spencer H., Brook F., & Kennedy M. 2005. Phylogeography of Kauri Snails and their allies from Northland, New Zealand (Mollusca: Gastropoda: Rhytididae: Paryphantinae). Molecular Phylogenetics and Evolution, null.	n					S1418 AND "TreeBASE"	0																
1152	TreeBASE	S1500	6	Manns, U. and A.A. Anderberg, Molecular phylogeny of Anagallis (Myrsinaceae) based on ITS, trnL-F and ndhF sequence data. International Journal of Plant Sciences, 2005. 166: p. 1019-1028.	10.1086/449318	Manns, U. and A.A. Anderberg, Molecular phylogeny of Anagallis (Myrsinaceae) based on ITS, trnL-F and ndhF sequence data. International Journal of Plant Sciences, 2005. 166: p. 1019-1028.	y	1	6			S1500 AND "TreeBASE"	0																
1153	TreeBASE	S1335	18	Hirose, S., et al., Molecular phylogeny and evolution of the maple powdery mildew (Sawadaea Miyabe; Erysiphaceae) inferred from nuclear rDNA sequences. Mycological Research, 2005. 109.	10.1017/S0953756205003527	Hirose S., Tanda S., Kiss L., Grigaliunaite B., Havrylenko M., & Takamatsu S. 2005. Molecular phylogeny and evolution of the maple powdery mildew (Sawadaea Miyabe; Erysiphaceae) inferred from nuclear rDNA sequences. Mycological Research, 109: p.912	y	1	18			S1335 AND "TreeBASE"	1	http://scholar.google.com/scholar?hl=en&q=S1335+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	y														
1154	TreeBASE	S1425	33	Luis, P., et al., Patchiness and Spatial Distribution of Laccase Genes of Ectomycorrhizal, Saprotrophic, and Unknown Basidiomycetes in the Upper Horizons of a Mixed Forest Cambisol. Microbial Ecology, 2005. 50: p. 570-579.	10.1007/s00248-005-5047-2	Luis P., Kellner H., Zimdars B., Langer U., Martin F., & Buscot F. 2005. Patchiness and Spatial Distribution of Laccase Genes of Ectomycorrhizal, Saprotrophic, and Unknown Basidiomycetes in the Upper Horizons of a Mixed Forest Cambisol. Microbial Ecology, 50: 570-579.	y	1	33			S1425 AND "TreeBASE"	0																
1155	TreeBASE	S1323	4	Vijaykrishna, D., R. Jeewon, and K.D. Hyde, Fusoidispora aquatica: A new ascomycete from Hong Kong based on morphology and phylogeny inferred from rDNA sequences. Sydowia, 2005. 57(2).		Vijaykrishna, D., R. Jeewon, and K.D. Hyde, Fusoidispora aquatica: A new ascomycete from Hong Kong based on morphology and phylogeny inferred from rDNA sequences. Sydowia, 2005. 57(2): 267	y	1	4			S1323 AND "TreeBASE"	0																
1156	TreeBASE	S1229		Peters, J.L., et al., Phylogenetics of wigeons and allies (Anatidae: Anas): the importance of sampling multiple loci and multiple individuals. Molecular Phylogenetics and Evolution, 2005.	10.1016/j.ympev.2004.12.017	Peters J., Mccracken K., Zhuravlev Y., Lu Y., Wilson R., Johnson K., & Omland K. 2005. Phylogenetics of wigeons and allies (Anatidae: Anas): the importance of sampling multiple loci and multiple individuals. Molecular Phylogenetics and Evolution, null.	n					S1229 AND "TreeBASE"	1 (Data Collection Article)																
1157	TreeBASE	S1232	1	Ward, P.S., The ant genus Leptanilloides: discovery of the male and evaluation of phylogenetic relationships based on DNA sequence data. Memoirs of the American Entomological Institute, 2005.		Ward, P.S., The ant genus Leptanilloides: discovery of the male and evaluation of phylogenetic relationships based on DNA sequence data. Memoirs of the American Entomological Institute, 2005. 77: 647	y	1	1	article in the book Advances in ant systematics (Hymenoptera: Formicidae): homage to E. O. Wilson â€“ 50 years of contributions		S1232 AND "TreeBASE"	0																
1158	TreeBASE	S1242	2	Les, D.H., M.L. Moody, and S.W.L. Jacobs, Phylogeny and Systematics of Aponogeton (Aponogetonaceae): The Australian Species. Systematic Botany, 2005.	10.1600/0363644054782215	Les, D.H., M.L. Moody, and S.W.L. Jacobs, Phylogeny and Systematics of Aponogeton (Aponogetonaceae): The Australian Species. Systematic Botany, 2005. 30: 503	y	1	2			S1242 AND "TreeBASE"	1 (Data Collection Article)																
1159	TreeBASE	S1284	13	Sanchez, J.A., Systematics of the bubblegum corals (Cnidaria: Octocorallia: Paragorgiidae) with description of new species from New Zealand and the Eastern Pacific. Zootaxa, 2005.	ISBN: 1-877407-18-6	Sanchez, J.A., Systematics of the bubblegum corals (Cnidaria: Octocorallia: Paragorgiidae) with description of new species from New Zealand and the Eastern Pacific. Zootaxa, 2005.	y	1	13			S1284 AND "TreeBASE"	0																
1160	TreeBASE	S1648	23	Trusty, J., et al., Molecular phylogenetics of the Macaronesian-endemic genus Bystgropogon (Lamiaceae): palaeoislands, ecological shifts, and interisland colonizations. Molecular Ecology, 2005. 14(4): p. 1177-1189.	10.1111/j.1365-294X.2005.02487.x	Trusty J., Olmstead R., Santos-guerra A., Fontinha S., & Francisco-ortega J. 2005. Molecular phylogenetics of the Macaronesian-endemic genus Bystgropogon (Lamiaceae): palaeoislands, ecological shifts, and interisland colonizations. Molecular Ecology, 14(4): 1177-1189.	y	1	23			S1648 AND "TreeBASE"	0																
1161	TreeBASE	S1244	14	Goetsch, L., A.J. Eckert, and B.D. Hall, The Molecular Systematics of Rhododendron (Ericaceae): A Phylogeny based upon RPB2 Gene Sequences. Systematic Botany, 2005.	10.1600/0363644054782170	Goetsch, L., A.J. Eckert, and B.D. Hall, The Molecular Systematics of Rhododendron (Ericaceae): A Phylogeny based upon RPB2 Gene Sequences. Systematic Botany, 2005. 30: 616,	y	1	14			S1244 AND "TreeBASE"	0																
1162	TreeBASE	S2116	3	Yang, Z.L., et al., New Asian species of the genus Anamika (euagarics, hebelomatoid clade) based on morphology and ribosomal DNA sequences. Mycological Research, 2005. 109: p. 1259-1267.	10.1016/S0953-7562(08)60250-6 	Yang Z., Matheny P., Ge Z., Slot J., & Hibbett D. 2005. New Asian species of the genus Anamika (euagarics, hebelomatoid clade) based on morphology and ribosomal DNA sequences. Mycological Research, 109: 1259-1267.	y	1	3			S2116 AND "TreeBASE"	0																
1163	TreeBASE	S1301	53	Poux, C., et al., Asynchronous colonization of Madagascar by the four endemic clades of primates, tenrecs, carnivores and rodents as inferred from nuclear genes. Systematic Biology, 2005.	10.1080/10635150500234534	Poux C., Madsen O., Marquard E., Vieites D., Jong W., & Vences M. 2005. Asynchronous colonization of Madagascar by the four endemic clades of primates, tenrecs, carnivores and rodents as inferred from nuclear genes. Systematic Biology, 54: 719.	y	1	53			S1301 AND "TreeBASE"	0																
1164	TreeBASE	S1325	4	Agnarsson, I., A revision and phylogenetic analysis of the American ethicus and rupununi groups of Anelosimus (Araneae, Theridiidae). Zoologica Scripta, 2005. 34: p. 189-314.	10.1111/j.1463-6409.2005.00189.x	Agnarsson, I., A revision and phylogenetic analysis of the American ethicus and rupununi groups of Anelosimus (Araneae, Theridiidae). Zoologica Scripta, 2005. 34: p. 189-314.	y	1	4	2 searches on ISI with 2 conflicting page #s	S1325a	S1325 AND "TreeBASE"	0																
1165	TreeBASE	S1325	15		10.1111/j.1463-6409.2005.00189.x	Agnarsson, I., A revision and phylogenetic analysis of the American ethicus and rupununi groups of Anelosimus (Araneae, Theridiidae). Zoologica Scripta, 2005. 34: 389	y	1	15		S1325b	 AND "TreeBASE"	0																
1166	TreeBASE	S1305	14	Wang, Z., M. Binder, and D.S. Hibbett, Aquatic discomycetes Mitrula (Helotiales, Ascomycota): life history and systematics based on cultural, morphological and molecular studies. American Journal of Botany, 2005. 	10.3732/ajb.92.9.1565	Wang, Z., M. Binder, and D.S. Hibbett, Aquatic discomycetes Mitrula (Helotiales, Ascomycota): life history and systematics based on cultural, morphological and molecular studies. American Journal of Botany, 2005. 92: 1565	y	1	14			S1305 AND "TreeBASE"	0																
1167	TreeBASE	S1096	22	Castillo, A.H., M.N. Cortinas, and E.P. Lessa, Rapid Diversification of Subterranean South American Tuco-tucos (Genus Ctenomys; Rodentia, Ctenomyidae): Contrasting Mitochondrial and Nuclear Intron Sequences. Journal of Mammalogy, 2005. 86(1): p. 170-179.	10.1644/1545-1542(2005)086<0170:RDOSAT>2.0.CO;2	Castillo, A.H., M.N. Cortinas, and E.P. Lessa, Rapid Diversification of Subterranean South American Tuco-tucos (Genus Ctenomys; Rodentia, Ctenomyidae): Contrasting Mitochondrial and Nuclear Intron Sequences. Journal of Mammalogy, 2005. 86(1): p. 170-179.	y	1	22			S1096 AND "TreeBASE"	0																
1168	TreeBASE	S1379	29	Hsieh, H.M., Y.M. Ju, and J.D. Rogers, Molecular phylogeny of Hypoxylon and closely related genera. Mycologia, 2005. 97: p. 844-865.	10.3852/mycologia.97.4.844	Hsieh, H.M., Y.M. Ju, and J.D. Rogers, Molecular phylogeny of Hypoxylon and closely related genera. Mycologia, 2005. 97: p. 844-865.	y	1	29			S1379 AND "TreeBASE"	0																
1169	TreeBASE	S1223	31	HernÃ¡ndez FernÃ¡ndez, M. and E.S. Vrba, A complete estimate of the phylogenetic relationships in Ruminantia: a dated species-level supertree of the extant ruminants. Biological Reviews, 2005.	10.1017/S1464793104006670	HernÃ¡ndez FernÃ¡ndez, M. and E.S. Vrba, A complete estimate of the phylogenetic relationships in Ruminantia: a dated species-level supertree of the extant ruminants. Biological Reviews, 2005. 80: 269	y	1	31			S1223 AND "TreeBASE"	1	http://scholar.google.com/scholar?hl=en&q=S1223+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	y														
1170	TreeBASE	S1257	24	Kennedy, M., et al., Untangling long branches: Identifying conflicting phylogenetic signals using spectral analysis, Neighbor-Net, and consensus networks. Systematic Biology, 2005.	10.1080/106351591007462	Kennedy M., Holland B., Gray R., & Spencer H. 2005. Untangling long branches: Identifying conflicting phylogenetic signals using spectral analysis, Neighbor-Net, and consensus networks. Systematic Biology, 54: 620.	y	1	24			S1257 AND "TreeBASE"	1 (Data Collection Article)																
1171	TreeBASE	S1292	3	Hassan, N.S., J. Thiede, and S. Liede-Schumann, Phylogenetic analysis of Sesuvioideae (Aizoaceae) inferred from nrDNA internal transcribed spacer (ITS) sequences and morphological data. Plant Systematics and Evolution, 2005.	10.1007/s00606-005-0357-x	Hassan, N.S., J. Thiede, and S. Liede-Schumann, Phylogenetic analysis of Sesuvioideae (Aizoaceae) inferred from nrDNA internal transcribed spacer (ITS) sequences and morphological data. Plant Systematics and Evolution, 2005. 255: 121.	y	1	3			S1292 AND "TreeBASE"	1 (Data Collection Article)																
1172	TreeBASE	S1277	3	Limkaisang, S., et al., Molecular phylogenetic and morphological analyses of Oidium heveae, a powdery mildew of rubber tree. Mycologia, 2005.	10.1007/s10267-005-0238-8	Limkaisang S., Kom-un S., Furtado E., Liew K., Salleh B., Sato Y., & Takamatsu S. 2005. Molecular phylogenetic and morphological analyses of Oidium heveae, a powdery mildew of rubber tree. Mycoscience, 46: 220.	y	1	3	conflicting journal names from TreeBASE and ISI 		S1277 AND "TreeBASE"	2 (1 Data Collection Article)	http://scholar.google.com/scholar?hl=en&q=S1277+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	y														
1173	TreeBASE	S1512	2	Liu, Y., et al., A Taxonomic Reassessment of Microdendron Inferred from Molecular and Morphological Evidence. The Bryologist, 2005. 108: p. 591-599.	10.1639/0007-2745(2005)108[0591:ATROMI]2.0.CO;2	Liu Y., Jia Y., Wang W., Chen Z., & Qiu Y. 2005. A Taxonomic Reassessment of Microdendron Inferred from Molecular and Morphological Evidence. The Bryologist, 108: 591-599.	y	1	2			S1512 AND "TreeBASE"	0																
1174	TreeBASE	S1355	2	Osmundson, T.W., C.L. Cripps, and G.M. Mueller, Morphological and molecular systematics of Rocky Mountain alpine Laccaria. Mycologia, 2005.	10.3852/mycologia.97.5.949	Osmundson, T.W., C.L. Cripps, and G.M. Mueller, Morphological and molecular systematics of Rocky Mountain alpine Laccaria. Mycologia, 2005. 97: 949.	y	1	2			S1355 AND "TreeBASE"	1 (Data Collection Article)																
1175	TreeBASE	S1383		Collins, A.G., et al., Medusozoan phylogeny and character evolution clarified by new large and small subunit rDNA data and an assessment of the utility of phylogenetic mixture models. Systematic Biology, 2005.	10.1080/10635150500433615	Collins A., Schuchert P., Marques A., Jankowski T., Medina M., & Schierwater B. 2005. Medusozoan phylogeny and character evolution clarified by new large and small subunit rDNA data and an assessment of the utility of phylogenetic mixture models. Systematic Biology, null.	n					S1383 AND "TreeBASE"	1 (Data Collection Article)																
1176	TreeBASE	S1247	4	Bischoff, J.F., P. Chaverri, and J.F.W. Jr, Clarification of the host substrate of Ascopolyporus and description of Ascopolyporus philodendrus sp. nov. Mycologia, 2005.	10.3852/mycologia.97.3.710	Bischoff, J.F., P. Chaverri, and J.F.W. Jr, Clarification of the host substrate of Ascopolyporus and description of Ascopolyporus philodendrus sp. nov. Mycologia, 2005. 97: 710.	y	1	4			S1247 AND "TreeBASE"	0																
1177	TreeBASE	S1268	17	Burnette, A.B., T.H. Struck, and K. Halanych, Holopelagic Poeobius meseres ('Poeobiidae', Annelida) is derived from benthic Flabelligerid worms. Biological Bulletin, 2005. 208: p. 213-220.	10.2307/3593153	Burnette, A.B., T.H. Struck, and K. Halanych, Holopelagic Poeobius meseres ('Poeobiidae', Annelida) is derived from benthic Flabelligerid worms. Biological Bulletin, 2005. 208: p. 213-220.	y	1	17			S1268 AND "TreeBASE"	1 (Data Collection Article)																
1178	TreeBASE	S1303	17	Taylor, D.J., H.L. Sprenger, and S. Ishida, Geographic and phylogenetic evidence for dispersed nuclear introgression in a daphniid with sexual propagules. Molecular Ecology, 2005. 14: p. 525-537.	10.1111/j.1365-294X.2005.02415.x	Taylor, D.J., H.L. Sprenger, and S. Ishida, Geographic and phylogenetic evidence for dispersed nuclear introgression in a daphniid with sexual propagules. Molecular Ecology, 2005. 14: p. 525-537.	y	1	17			S1303 AND "TreeBASE"	0																
1179	TreeBASE	S1290	12	Scharaschkin, T. and J.A. Doyle, Phylogeny and Historical Biogeography of Anaxagorea (Annonaceae) Using Morphology and Non-Coding Chloroplast Sequence Data. Systematic Botany, 2005.	10.1600/036364405775097888	Scharaschkin, T. and J.A. Doyle, Phylogeny and Historical Biogeography of Anaxagorea (Annonaceae) Using Morphology and Non-Coding Chloroplast Sequence Data. Systematic Botany, 2005. 30: 712	y	1	12			S1290 AND "TreeBASE"	0																
1180	TreeBASE	S1354	1	Struck, T.H., G. Purschke, and K.M. Halanych, Phylogeny of Eunicida (Annelida) and Exploring Data Congruence using a Partition Addition Bootstrap Alteration (PABA) Approach. Systematic Biology, 2005.	10.1080/10635150500354910	Struck, T.H., G. Purschke, and K.M. Halanych, Phylogeny of Eunicida (Annelida) and Exploring Data Congruence using a Partition Addition Bootstrap Alteration (PABA) Approach. Systematic Biology, 2005. 54: 1.	y	1	1			S1354 AND "TreeBASE"	1 (Data Collection Article)																
1181	TreeBASE	S1171		Bills, G.F., et al., Hormonema carpetanum, sp. nov., a new lineage of dothideaceous black yeasts from Spain. Mycological Progress, 2005.		Bills G., Collado J., Ruibal C., PelÃ¡ez F., & Platas G. 2005. Hormonema carpetanum, sp. nov., a new lineage of dothideaceous black yeasts from Spain. Mycological Progress, null.	n			article published in 2004 - is in WoS with 4 citing articles		S1171 AND "TreeBASE"	0																
1182	TreeBASE	S1388	69	Lartillot, N. and H. Philippe, Computing Bayes factors by thermodynamic integration. Systematic Biology, 2005.	10.1080/10635150500433722	Lartillot, N. and H. Philippe, Computing Bayes factors by thermodynamic integration. Systematic Biology, 2005. 54: 743.	y	1	69			S1388 AND "TreeBASE"	2 (1 Data Collection Article)	http://scholar.google.com/scholar?hl=en&q=S1388+AND+%22TreeBASE%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0	y														
1183	TreeBASE	S1416	13	Verbruggen, H., et al., Evolution and phylogeography of Halimeda section Halimeda. Molecular Phylogenetics and Evolution, 2005. 37: p. 789-803.	10.1016/j.ympev.2005.06.015	Verbruggen H., Clerck O., Schils T., Kooistra W., & Coppejans E. 2005. Evolution and phylogeography of Halimeda section Halimeda. Molecular Phylogenetics and Evolution, 37: 789-803.	y	1	13			S1416 AND "TreeBASE"	0																
1184	TreeBASE	S1309		Uit de Weerd, D.R. and E. Gittenberger, Towards a monophyletic genus Albinaria: the first molecular study into the phylogenetic position of eastern Albinaria species. Zoological Journal of the Linnean Society, 2005. 143: p. 531-542.	10.1111/j.1096-3642.2005.00154.x		n					S1309 AND "TreeBASE"	0																
1185	TreeBASE	S1551	1	Yanagida, N., et al., New choke diseases and their molecular phylogenetic analysis in Agropyron ciliare var. minus and Agropyron tsukushiense var. transiens. Mycologia, 2005. 97: p. 1287-1291.	10.3852/mycologia.97.6.1287	Yanagida N., Irie T., Tanaka E., Teramoto C., Kuwabara K., & Tajimi A. 2005. New choke diseases and their molecular phylogenetic analysis in Agropyron ciliare var. minus and Agropyron tsukushiense var. transiens. Mycologia, 97: 1287-1291.	y	1	1			S1551 AND "TreeBASE"	0																
1186	TreeBASE	S1293	5	Persson, J. and F. Pleijel, On the phylogenetic relationships of Axiokebuita, Travisia and Scalibregmatidae (Polychaeta). Zootaxa, 2005.		Persson, J. and F. Pleijel, On the phylogenetic relationships of Axiokebuita, Travisia and Scalibregmatidae (Polychaeta). Zootaxa, 2005.	y	1	5			S1293 AND "TreeBASE"	1 (Data Collection Article)																
1187	TreeBASE	S1191	17	Martins, T.R. and T.J. Barkman, Reconstruction of Solanaceae phylogeny using the nuclear gene SAMT. Systematic Botany, 2005. 30(2): p. 435-447.	10.1600/0363644054223675	Martins, T.R. and T.J. Barkman, Reconstruction of Solanaceae phylogeny using the nuclear gene SAMT. Systematic Botany, 2005. 30(2): p. 435-447.	y	1	17			S1191 AND "TreeBASE"	1 (Data Collection Article)																
1188	TreeBASE	S1270	24	Wilson, A.W. and D.E. Desjardin, Phylogenetic relationships between Gymnopus, Marasmius, Marasmiellus and related fungi (Basidiomycetes, euagarics clade). Mycologia, 2005.	10.3852/mycologia.97.3.667	Wilson, A.W. and D.E. Desjardin, Phylogenetic relationships between Gymnopus, Marasmius, Marasmiellus and related fungi (Basidiomycetes, euagarics clade). Mycologia, 2005. 97: 667. 	y	1	24			S1270 AND "TreeBASE"	1 (Data Collection Article)																
1189	TreeBASE	S1310		Verboom, G.A., A phylogeny of the schoenoid sedges (Cyperaceae: Schoeneae) based on plastid DNA sequences, with special reference to the genera found in Africa. Molecular Phylogenetics and Evolution, 2005.	10.1016/j.ympev.2005.05.012	Verboom G. 2005. A phylogeny of the schoenoid sedges (Cyperaceae: Schoeneae) based on plastid DNA sequences, with special reference to the genera found in Africa. Molecular Phylogenetics and Evolution, null.	n					S1310 AND "TreeBASE"	1 (Data Collection Article)																
1190	TreeBASE	S1373		Liu, J.Q., et al., Radiation and diversification within the Ligularia-Cremanthodium-Parasenecio complex (Asteraceae) triggered by uplift of the Qinghai-Tibetan Plateau. Molecular Phylogenetics and Evolution, 2005.	10.1016/j.ympev.2005.09.010	Liu J., Wang Y., Wang A., Hideaki O., & Abbott R. 2005. Radiation and diversification within the Ligularia-Cremanthodium-Parasenecio complex (Asteraceae) triggered by uplift of the Qinghai-Tibetan Plateau. Molecular Phylogenetics and Evolution, null.	n					S1373 AND "TreeBASE"	0																
1191	TreeBASE	S1364		Stone, R.D., Phylogeny of major lineages in Melastomataceae, subfamily Olisbeoideae: utility of nuclear glyceraldehyde 3-phosphate dehydrogenase (GapC) gene sequences. Systematic Botany, 2005.	10.1600/036364406775971741		n			Published in 2006		S1364 AND "TreeBASE"	1 (Data Collection Article)																
1192	TreeBASE	S1458	37	Glover, A.G., et al., World-wide whale worms? A new species of Osedax from the shallow north Atlantic. Proceedings of the Royal Society B, 2005. 272: p. 2587-2592.	10.1098/rspb.2005.3275	Glover A., KÃ_llstrÃ¶m B., Smith C., & Dahlgren T. 2005. World-wide whale worms? A new species of Osedax from the shallow north Atlantic. Proceedings of the Royal Society B, 272: 2587-2592.	y	1	37			S1458 AND "TreeBASE"	0																
1193	TreeBASE	S1313	18	Inderbitzin, P., et al., Lateral transfer of mating system in Stemphylium. Proceedings of the National Academy of Sciences of the United States of America, 2005.	10.1073/pnas.0501918102	Inderbitzin P., Harkness J., Turgeon B., & Berbee M. 2005. Lateral transfer of mating system in Stemphylium. Proceedings of the National Academy of Sciences of the United States of America, 102: 11390.	y	1	18	2 ISI search found with different volume #, but same page#	S1313a	S1313 AND "TreeBASE"	1 (Data Collection Article)																
1194	TreeBASE	S1313	1		10.1073/pnas.0501918102	Inderbitzin P., Harkness J., Turgeon B., & Berbee M. 2005. Lateral transfer of mating system in Stemphylium. Proceedings of the National Academy of Sciences of the United States of America, 32: 11390.	y	1	1	Correct should be Vol: 102(32). - jdc	S1313b																		
